area	year	production	area_harvested
Bangladesh	2020	54.9	11.4
Bangladesh	2019	54.6	11.5
Bangladesh	2018	54.4	11.5
Bangladesh	2017	54.1	11.6
Bangladesh	2016	50.5	11.0
Bangladesh	2015	51.8	11.4
Bangladesh	2014	51.8	11.4
Bangladesh	2013	51.5	11.4
Bangladesh	2012	50.5	11.4
Bangladesh	2011	50.6	11.5
Bangladesh	2010	50.1	11.5
Bangladesh	2009	48.1	11.4
Bangladesh	2008	46.7	11.3
Bangladesh	2007	43.2	10.6
Bangladesh	2006	40.8	10.6
Bangladesh	2005	39.8	10.5
Bangladesh	2004	36.2	10.2
Bangladesh	2003	38.4	10.7
Bangladesh	2002	37.6	10.8
Bangladesh	2001	36.3	10.7
Bangladesh	2000	37.6	10.8
Bangladesh	1999	34.4	10.7
Bangladesh	1998	29.7	10.1
Bangladesh	1997	28.2	10.3
Bangladesh	1996	28.2	10.2
Bangladesh	1995	26.4	10.0
Bangladesh	1994	25.1	9.9
Bangladesh	1993	26.9	9.9
Bangladesh	1992	27.4	10.2
Bangladesh	1991	27.2	10.2
Bangladesh	1990	26.8	10.4
Bangladesh	1989	26.8	10.5
Bangladesh	1988	23.3	10.2
Bangladesh	1987	23.1	10.3
Bangladesh	1986	23.1	10.6
Bangladesh	1985	22.6	10.4
Bangladesh	1984	21.9	10.2
Bangladesh	1983	21.8	9.7
Bangladesh	1982	21.3	10.6
Bangladesh	1981	20.4	10.5
Bangladesh	1980	20.8	10.3
Bangladesh	1979	19.1	10.2
Bangladesh	1978	19.6	10.1
Bangladesh	1977	19.5	10.0
Bangladesh	1976	17.6	9.9
Bangladesh	1975	19.1	10.3
Bangladesh	1974	16.9	9.8
Bangladesh	1973	17.9	9.9
Bangladesh	1972	15.1	9.6
Bangladesh	1971	14.9	9.3
Bangladesh	1970	16.7	9.9
Bangladesh	1969	18.0	10.3
Bangladesh	1968	17.0	9.7
Bangladesh	1967	16.8	9.9
Bangladesh	1966	14.4	9.1
Bangladesh	1965	15.8	9.4
Bangladesh	1964	15.8	9.2
Bangladesh	1963	15.9	9.0
Bangladesh	1962	13.3	8.7
Bangladesh	1961	14.4	8.5
Brazil	2021	11.7	1.7
Brazil	2020	11.1	1.7
Brazil	2019	10.4	1.7
Brazil	2018	11.8	1.9
Brazil	2017	12.5	2.0
Brazil	2016	10.6	1.9
Brazil	2015	12.3	2.1
Brazil	2014	12.2	2.3
Brazil	2013	11.8	2.4
Brazil	2012	11.5	2.4
Brazil	2011	13.5	2.8
Brazil	2010	11.2	2.7
Brazil	2009	12.7	2.9
Brazil	2008	12.1	2.9
Brazil	2007	11.1	2.9
Brazil	2006	11.5	3.0
Brazil	2005	13.2	3.9
Brazil	2004	13.3	3.7
Brazil	2003	10.3	3.2
Brazil	2002	10.4	3.1
Brazil	2001	10.2	3.1
Brazil	2000	11.1	3.7
Brazil	1999	11.7	3.8
Brazil	1998	7.7	3.1
Brazil	1997	8.4	3.1
Brazil	1996	8.7	3.3
Brazil	1995	11.2	4.4
Brazil	1994	10.5	4.4
Brazil	1993	10.1	4.4
Brazil	1992	10.0	4.7
Brazil	1991	9.5	4.1
Brazil	1990	7.4	3.9
Brazil	1989	11.0	5.3
Brazil	1988	11.8	6.0
Brazil	1987	10.4	6.0
Brazil	1986	10.4	5.6
Brazil	1985	9.0	4.8
Brazil	1984	9.0	5.4
Brazil	1983	7.7	5.1
Brazil	1982	9.7	6.0
Brazil	1981	8.2	6.1
Brazil	1980	9.8	6.2
Brazil	1979	7.6	5.5
Brazil	1978	7.3	5.6
Brazil	1977	9.0	6.0
Brazil	1976	9.8	6.7
Brazil	1975	7.8	5.3
Brazil	1974	6.8	4.7
Brazil	1973	7.2	4.8
Brazil	1972	6.8	4.5
Brazil	1971	6.6	4.8
Brazil	1970	7.6	5.0
Brazil	1969	6.4	4.6
Brazil	1968	6.7	4.5
Brazil	1967	6.8	4.3
Brazil	1966	5.8	4.0
Brazil	1965	7.6	4.6
Brazil	1964	6.3	4.2
Brazil	1963	5.7	3.7
Brazil	1962	5.6	3.3
Brazil	1961	5.4	3.2
Trung Quốc	2021	212.8	29.9
Trung Quốc	2020	211.9	30.1
Trung Quốc	2019	209.6	29.7
Trung Quốc	2018	212.1	30.2
Trung Quốc	2017	212.7	30.7
Trung Quốc	2016	211.1	30.7
Trung Quốc	2015	212.1	30.8
Trung Quốc	2014	206.5	30.3
Trung Quốc	2013	203.6	30.3
Trung Quốc	2012	204.2	30.1
Trung Quốc	2011	201.0	30.1
Trung Quốc	2010	195.8	29.9
Trung Quốc	2009	195.1	29.6
Trung Quốc	2008	191.9	29.2
Trung Quốc	2007	186.0	28.9
Trung Quốc	2006	181.7	28.9
Trung Quốc	2005	180.6	28.8
Trung Quốc	2004	179.1	28.4
Trung Quốc	2003	160.7	26.5
Trung Quốc	2002	174.5	28.2
Trung Quốc	2001	177.6	28.8
Trung Quốc	2000	187.9	30.0
Trung Quốc	1999	198.5	31.3
Trung Quốc	1998	198.7	31.2
Trung Quốc	1997	200.7	31.8
Trung Quốc	1996	195.1	31.4
Trung Quốc	1995	185.2	30.7
Trung Quốc	1994	175.9	30.2
Trung Quốc	1993	177.5	30.4
Trung Quốc	1992	186.2	32.1
Trung Quốc	1991	183.8	32.6
Trung Quốc	1990	189.3	33.1
Trung Quốc	1989	180.1	32.7
Trung Quốc	1988	169.1	32.0
Trung Quốc	1987	174.3	32.2
Trung Quốc	1986	172.2	32.3
Trung Quốc	1985	168.6	32.1
Trung Quốc	1984	178.3	33.2
Trung Quốc	1983	168.9	33.1
Trung Quốc	1982	161.6	33.0
Trung Quốc	1981	144.0	33.3
Trung Quốc	1980	139.9	33.8
Trung Quốc	1979	143.8	33.8
Trung Quốc	1978	136.9	34.4
Trung Quốc	1977	128.6	35.5
Trung Quốc	1976	125.8	36.2
Trung Quốc	1975	125.6	35.7
Trung Quốc	1974	123.9	35.5
Trung Quốc	1973	121.7	35.1
Trung Quốc	1972	113.4	35.1
Trung Quốc	1971	115.2	34.9
Trung Quốc	1970	110.0	32.3
Trung Quốc	1969	95.1	30.4
Trung Quốc	1968	94.5	29.9
Trung Quốc	1967	93.7	30.4
Trung Quốc	1966	95.4	30.5
Trung Quốc	1965	87.7	29.8
Trung Quốc	1964	83.0	29.6
Trung Quốc	1963	73.8	27.7
Trung Quốc	1962	63.0	26.9
Trung Quốc	1961	53.6	26.3
Ấn Độ	2021	195.4	46.4
Ấn Độ	2020	186.5	45.1
Ấn Độ	2019	178.3	43.7
Ấn Độ	2018	174.7	44.2
Ấn Độ	2017	169.1	43.8
Ấn Độ	2016	163.7	43.2
Ấn Độ	2015	156.5	43.4
Ấn Độ	2014	157.2	44.1
Ấn Độ	2013	159.2	44.1
Ấn Độ	2012	157.8	42.8
Ấn Độ	2011	157.9	44.0
Ấn Độ	2010	144.0	42.9
Ấn Độ	2009	135.7	41.9
Ấn Độ	2008	148.0	45.5
Ấn Độ	2007	144.6	43.9
Ấn Độ	2006	139.1	43.8
Ấn Độ	2005	137.7	43.7
Ấn Độ	2004	124.7	41.9
Ấn Độ	2003	132.8	42.6
Ấn Độ	2002	107.7	41.2
Ấn Độ	2001	139.9	44.9
Ấn Độ	2000	127.5	44.7
Ấn Độ	1999	134.5	45.2
Ấn Độ	1998	129.1	44.8
Ấn Độ	1997	123.7	43.5
Ấn Độ	1996	122.5	43.4
Ấn Độ	1995	115.4	42.8
Ấn Độ	1994	122.6	42.8
Ấn Độ	1993	120.4	42.5
Ấn Độ	1992	109.0	41.8
Ấn Độ	1991	112.0	42.6
Ấn Độ	1990	111.5	42.7
Ấn Độ	1989	110.3	42.2
Ấn Độ	1988	106.4	41.7
Ấn Độ	1987	85.3	38.8
Ấn Độ	1986	90.8	41.2
Ấn Độ	1985	95.8	41.1
Ấn Độ	1984	87.6	41.2
Ấn Độ	1983	90.0	41.2
Ấn Độ	1982	70.8	38.3
Ấn Độ	1981	79.9	40.7
Ấn Độ	1980	80.3	40.2
Ấn Độ	1979	63.5	39.4
Ấn Độ	1978	80.6	40.5
